PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2540135675,10,4608,P00172,06.04.2017,8939.52,1117,0,0,0,0,0,0,12.5,0,0,0,11414.15,1357.63,INR,,,,,,,,
2540135675,10,4095,P00173,06.04.2017,5282.55,660,0,0,0,0,0,0,12.5,0,0,0,6744.79,802.24,INR,,,,,,,,
2540135676,10,5033,P00174,06.04.2017,3825.08,478,0,0,0,0,0,0,12.5,0,0,0,4884,580.92,INR,,,,,,,,
2540135676,10,4644,P00175,06.04.2017,4133.16,517,0,0,0,0,0,0,12.5,0,0,0,5277.93,627.77,INR,,,,,,,,
2510172357,10,100,P00176,06.04.2017,24859,3107,0,0,0,0,0,0,12.5,0,0,0,31741.41,3775.41,INR,,,,,MH14 CP2472,,,
2510172358,10,100,P00177,06.04.2017,20341,2543,0,0,0,0,0,0,12.5,0,0,0,25973.34,3089.34,INR,,,,,MH14 CP2472,,,
2540135676,10,2916,P00178,06.04.2017,1720.44,215,0,0,0,0,0,0,12.5,0,0,0,2196.72,261.28,INR,,,,,,,,
2540131774,10,80,P00179,06.04.2017,23961.6,2995,0,0,0,0,0,0,12.5,0,0,0,30595.74,3639.14,INR,,,,,MH14 CP2472,,,
2540140488,10,60,P00206,06.04.2017,15732.6,1967,0,0,0,0,0,0,12.5,0,0,0,20089.05,2389.45,INR,,,,,MH14 CP2472,,,
2510172351,10,64,P00207,06.04.2017,53820.16,6728,0,0,0,0,0,0,12.5,0,0,0,68722.16,8174,INR,,,,,MH14 CP2472,,,
2540131761,10,10,P00208,06.04.2017,7320.7,915,0,0,0,0,0,0,12.5,0,0,0,9347.52,1111.82,INR,,,,,MH14 CP2472,,,
2510172330,10,20,P00209,06.04.2017,7599.8,950,0,0,0,0,0,0,12.5,0,0,0,9704.02,1154.22,INR,,,,,MH14 CP2472,,,
2540131759,10,18,P00210,06.04.2017,6646.68,831,0,0,0,0,0,0,12.5,0,0,0,8487.17,1009.49,INR,,,,,MH14 CP2472,,,
2540136045,10,180,P00211,06.04.2017,14211,1776,0,0,0,0,0,0,12.5,0,0,0,18145.24,2158.24,INR,,,,,MH14 CP2472,,,
2540131769,10,180,P00212,06.04.2017,51757.2,6470,0,0,0,0,0,0,12.5,0,0,0,66087.87,7860.67,INR,,,,,MH14 CP2472,,,
2540131758,10,12,P00213,06.04.2017,4272.48,534,0,0,0,0,0,0,12.5,0,0,0,5455.35,648.87,INR,,,,,MH14 CP2472,,,
2510172313,10,32,P00214,06.04.2017,8815.36,1102,0,0,0,0,0,0,12.5,0,0,0,11256.2,1338.84,INR,,,,,MH14 CP2472,,,
2540132379,10,5,P00215,06.04.2017,12467.25,1558,0,0,0,0,0,0,12.5,0,0,0,15918.66,1893.41,INR,,,,,MH14 CP2472,,,
2540131755,10,40,P00230,06.04.2017,90220,11278,0,0,0,0,0,0,12.5,0,0,0,115200.23,13702.23,INR,,,,,MH14CP 2472,,,
2540132379,10,40,P00231,06.04.2017,99738,12467,0,0,0,0,0,0,12.5,0,0,0,127352.68,15147.68,INR,,,,,MH14CP 2472,,,
2510172371,10,30,P00232,06.04.2017,14821.8,1853,0,0,0,0,0,0,12.5,0,0,0,18925.9,2251.1,INR,,,,,MH14CP 2472,,,
2510172359,10,50,P00233,06.04.2017,8853.5,1107,0,0,0,0,0,0,12.5,0,0,0,11305.17,1344.67,INR,,,,,MH14CP 2472,,,
2510172351,10,48,P00234,06.04.2017,40365.12,5046,0,0,0,0,0,0,12.5,0,0,0,51541.62,6130.5,INR,,,,,MH14CP 2472,,,
2510172330,10,40,P00235,06.04.2017,15199.6,1900,0,0,0,0,0,0,12.5,0,0,0,19408.05,2308.45,INR,,,,,MH14CP 2472,,,
